depth,SampleID,SeqDay,midSeqDay,Start_Date,StartYr,StartMo,StartDay,MidJDay,Duration,Fr_gt_1000,Fr500_1000,Fr125_500,Fr37_125,Fr_lt_37,Fr_lt_125,MassFlux,pcnt_Carb37_125,pcnt_Carb_lt_37,pcnt_Carb_lt_125,CarbFlux,pcnt_Corg37_125,d13Corg37_125,pcnt_Corg_lt_37,d13Corg_lt_37,d13Corg_lt_37_A,pcnt_Corg_lt_125,d13Corg_lt_125,CorgFlux,pcnt_N37_125,d15N37_125,pcnt_N_lt_37,d15N_lt_37,d15N_lt_37_A,pcnt_N_lt_125,d15N_lt_125,d15N_lt_125_A,Nflux,pcnt_Ppart_lt_37,pcnt_Ppart_lt_125,pcnt_Ppart_lt_1000,pcnt_Psuper,PtotalFlux,pcnt_Opal37_125,pcnt_Opal_lt_37,pcnt_Opal_lt_1000est,OpalFlux,pcnt_Lith_lt_1000est,LithFlux,Comments
500,%  5/84,2184,2209,1984-03-29,1984,3,29,114,50,167.33,67.13,156.06,63.02,125.85,188.87,23.18,58.11,48.17,51.49,11.93,14.59,nd,17.4,nd,nd,16.46,nd,3.82,nd,nd,2.68,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  7/84,2237,2270.5,1984-05-21,1984,5,21,175.5,67,378.96,58.67,124.09,159.99,501.99,661.98,36.53,32.48,47.92,44.19,16.14,19.32,nd,15.53,nd,nd,16.45,nd,6.01,nd,nd,1.08,nd,nd,nd,nd,nd,nd,0.138,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  1/85,2417,2446,1984-11-17,1984,11,17,351,58,0,81.51,266.52,37.02,399.17,436.19,27.04,55.5,32.82,34.74,9.4,14.4,nd,28.4,nd,nd,27.21,nd,7.36,nd,nd,3.92,nd,nd,nd,nd,nd,nd,0.309,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  3/85,2492,2518.5,1985-01-31,1985,1,31,57.5,53,518.58,197.36,307.17,51.17,791.81,842.98,70.42,66.91,59.43,59.88,42.17,17.5,nd,12.5,nd,nd,12.8,nd,9.02,nd,nd,1.52,nd,nd,nd,nd,nd,nd,0.168,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  5/85,2548,2571,1985-03-28,1985,3,28,110,46,166.02,73.35,287.63,88.26,253.84,342.1,37.79,57.9,39.4,44.17,16.69,12.8,nd,15.29,nd,nd,14.65,nd,5.53,nd,nd,2.4,nd,nd,nd,nd,nd,nd,0.245,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  7/85,2595,2627,1985-05-14,1985,5,14,166,64,398.74,46.67,159.4,109.64,207.13,316.77,28.8,28.39,47.49,40.88,11.77,18,nd,16.7,nd,nd,17.15,nd,4.94,nd,nd,2.49,nd,nd,nd,nd,nd,nd,0.289,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/85,2679,2707,1985-08-06,1985,8,6,246,56,410.32,47.64,90.05,51.77,190.57,242.34,28.23,46.53,30.64,34.03,9.61,22.08,nd,24.3,nd,nd,23.83,nd,6.73,2.7,nd,3.09,nd,nd,3.01,nd,nd,0.56,0.361,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 11/85,2737,2760,1985-10-03,1985,10,3,299,46,150.91,49.33,58.32,54.16,133.64,187.8,19.41,65.17,46.86,52.14,10.12,8.33,nd,13.59,nd,nd,12.07,nd,2.34,1.46,nd,2.05,nd,nd,1.88,nd,nd,0.38,0.178,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  1/86,2784,2815,1985-11-19,1985,11,19,354,62,0,184.34,356.25,54.64,903.37,958.01,48.34,74.28,33.83,36.14,17.47,9.73,nd,28.7,nd,nd,27.62,nd,13.35,nd,nd,4.26,nd,nd,nd,nd,nd,nd,0.428,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/86,2853,2885,1986-01-27,1986,1,27,59,64,0,235.78,348.33,14.15,474.87,489.02,33.54,87.61,37.68,39.12,13.12,nd,nd,20.9,nd,nd,nd,nd,nd,nd,nd,3.42,nd,nd,nd,nd,nd,nd,0.386,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  6/86,2920,2949.5,1986-04-04,1986,4,4,123.5,59,1523.47,67.1,132.85,69.33,261.25,330.58,69.63,42.9,27.9,31.05,35.4,25.43,nd,30.17,nd,nd,29.18,nd,20.31,2.68,nd,3.46,nd,nd,3.3,nd,nd,2.30,0.474,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  7/86,2980,3005,1986-06-03,1986,6,3,179,50,1287.19,47.03,142.61,47.03,133.26,180.29,66.28,nd,nd,nd,33.7,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,4.63,nd,nd,nd,nd,nd,nd,0.391,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/89-1,4082,4089.5,1989-06-09,1989,6,9,167.5,15,2.58,3.32,9.49,13.01,52.57,65.58,10.8,50.11,52.18,51.77,5.59,nd,nd,12.56,nd,nd,nd,nd,nd,nd,nd,1.82,nd,nd,nd,nd,nd,nd,0.151,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/89-2,4097,4104.5,1989-06-24,1989,6,24,182.5,15,14.57,12.04,23.14,22.78,102.66,125.44,23.36,42.1,56.19,53.63,12.53,11.1,-22.1,9.65,-21.64,nd,9.91,-21.72,2.32,1.32,1.09,1.3,2.21,2.06,1.3,2.01,nd,0.30,0.127,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/89-3,4112,4119.5,1989-07-09,1989,7,9,197.5,15,21.49,10.39,32.1,27.82,103.26,131.08,26.01,58.62,56.34,56.82,14.78,10.15,-21.78,9.43,-21.68,nd,9.58,-21.7,2.49,1.02,2.02,1.25,2.3,2.24,1.2,2.24,nd,0.31,0.120,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/89-4,4127,4134.5,1989-07-24,1989,7,24,212.5,15,13.26,11.61,14.16,10.51,22.92,33.43,9.66,56.92,33.05,40.55,3.92,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/89-1,4144,4151.5,1989-08-10,1989,8,10,229.5,15,7.52,6.09,10.71,2.99,13.3,16.29,5.41,nd,24.64,nd,2.75,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2.88,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/89-2,4159,4166.5,1989-08-25,1989,8,25,244.5,15,11.52,4.17,8.39,7.43,15.71,23.14,6.3,63.97,38.58,46.73,2.94,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.55,nd,2.95,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/89-3,4174,4181.5,1989-09-09,1989,9,9,259.5,15,12.5,3.49,15.95,6.94,13.06,20,6.93,76.7,26.42,43.87,3.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.79,nd,2.41,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,% 10/89-4,4189,4196.5,1989-09-24,1989,9,24,274.5,15,7.57,6.53,17.01,9.64,15.57,25.21,7.51,27.41,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,6.27,nd,nd,nd,nd,nd,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,swimmer/fish contamination/anoxic
500,% 12/89-1,4207,4214.5,1989-10-12,1989,10,12,292.5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,sample lost
500,% 12/89-2,4222,4229.5,1989-10-27,1989,10,27,307.5,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,sample lost
500,% 12/89-3,4237,4244.5,1989-11-11,1989,11,11,322.5,15,7.64,5.39,4.3,1.6,6.22,7.82,3.35,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,swimmer/fish contamination/anoxic
500,% 12/89-4,4252,4259.5,1989-11-26,1989,11,26,337.5,15,23.3,5.31,14.6,4.96,11.63,16.59,7.97,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,swimmer/fish contamination/anoxic
500,%  2/90-1,4268,4275,1989-12-12,1989,12,12,353,14,5.4,4.07,5.16,1.67,7.23,8.9,3.36,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,swimmer/fish contamination/anoxic
500,%  2/90-2,4282,4289,1989-12-26,1989,12,26,2,14,2.65,2.41,10.39,2.15,11.59,13.74,4.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,swimmer/fish contamination/anoxic
500,%  2/90-3,4296,4303,1990-01-09,1990,1,9,16,14,21.57,27.54,60.5,5.74,9.5,15.24,17.84,22.42,79.83,58.21,10.38,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  2/90-4,4310,4316.5,1990-01-23,1990,1,23,29.5,13,45.39,4.85,14.93,4.41,8.95,13.36,12.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/90-1,4326,4333,1990-02-08,1990,2,8,46,14,0,15.95,7.86,6.46,31.04,37.5,8.76,37.89,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,6.35,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/90-2,4340,4347,1990-02-22,1990,2,22,60,14,78.6,11.75,25.07,17.46,38.16,55.62,24.43,60.97,53.88,56.11,13.71,nd,nd,9.47,nd,nd,nd,nd,nd,nd,nd,1.99,nd,3.66,nd,nd,nd,nd,0.072,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/90-3,4354,4361,1990-03-08,1990,3,8,74,14,145.3,46.17,73.19,82.45,83.48,165.93,61.51,71.25,61.36,66.27,40.77,8.29,nd,9.48,nd,nd,8.89,nd,5.47,1.31,nd,1.41,nd,3.54,1.36,nd,nd,0.84,0.132,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  4/90-4,4368,4375,1990-03-22,1990,3,22,88,14,35.05,170.43,185.98,68.67,273.04,341.71,104.74,70.73,62.2,63.91,66.94,7.37,nd,8.93,nd,nd,8.62,nd,9.02,1.15,nd,1.17,nd,2.09,1.16,nd,nd,1.22,0.147,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
500,%  8/90-1,4411,4418.5,1990-05-04,1990,5,4,131.5,15,20.23,13.04,22.69,25.63,32.77,58.4,15.25,48.87,50.01,49.51,7.55,16.29,nd,15.6,nd,nd,15.9,nd,2.42,2.13,nd,3.12,nd,4.34,2.68,nd,nd,0.41,0.299,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
