 /Comments
filename:bats_bacteria_production.dat
contains BATS bacterial production rates for years 1988 - 2012
/NOTE:
The cruise list contains all of the cruises within the specified limits.
However, not all cruises may contain data for the parameters selected.
/Variable list
Id     = Sample Id                                                                               
 A unique bottle id which identifies cruise, cast and bottle number
 9 digit number !####$$@@, where
 !   = Cruise type, 1=BATS core, 2=BATS bloom a, and 3=BATS bloom b, ect.
 #### = Cruise number
 $$  = Cast Number, 1-80=CTD casts, 81-99=Hydrocasts (i.e. 83=Hydrocast number 3)
 @@  = Bottle number
 e.g., 100488108 is BATS core 48, Hydrocast 1, Bottle 8
Id     = Sample Id                                                                               
yymmdd = Year Month Day                                                                          
decy   = Decimal Year  
Lat    = Latitude of water collection
Long   = Longitude of water collection                                                                          
dep1   = Collection depth (m)       
dep2   = Incubation depth (m)        
salt   = salinity from goflo bottle.                                                                              
thy1   = Bacterial growth rate by 3H-Thymidine-sample #1 or mean if no sample 2 or 3 (pmole/l/hr)
thy2   = Bacterial growth rate by 3H-Thymidine-sample #2 (pmole/l/hr)                            
thy3   = Bacterial growth rate by 3H-Thymidine-sample #3 (pmole/l/hr)                            
thy    = Mean Bacterial growth rate by 3H-Thymidine (pmol/l/hr)                                  
/Quality flags
-999 = No data
/Variables
  Id       , 	   yymmdd, 	   decy  ,	  Lat  , 	 Long  ,	dep1, 	   salt, 	  thy1 ,	  thy2 ,	  thy3 ,	  thy  , 
  1002508101	  19901015	 1990.7895	  31.843	  64.163	  1.0	-999.000	   0.430	-999.000	-999.000	   0.430
  1002508102	  19901015	 1990.7895	  31.843	  64.163	 20.0	-999.000	   0.480	-999.000	-999.000	   0.480
  1002508103	  19901015	 1990.7895	  31.843	  64.163	 40.0	-999.000	   0.460	-999.000	-999.000	   0.460
  1002508104	  19901015	 1990.7895	  31.843	  64.163	 60.0	-999.000	   0.790	-999.000	-999.000	   0.790
  1002508105	  19901015	 1990.7895	  31.843	  64.163	 80.0	-999.000	   0.270	-999.000	-999.000	   0.270
  1002508106	  19901015	 1990.7895	  31.843	  64.163	100.0	-999.000	   0.360	-999.000	-999.000	   0.360
  1002508107	  19901015	 1990.7895	  31.843	  64.163	120.0	-999.000	   0.280	-999.000	-999.000	   0.280
  1002508108	  19901015	 1990.7895	  31.843	  64.163	140.0	-999.000	   0.110	-999.000	-999.000	   0.110
  1002608101	  19901106	 1990.8499	  31.818	  64.183	  1.0	-999.000	   0.360	-999.000	-999.000	   0.360
  1002608102	  19901106	 1990.8499	  31.818	  64.183	 20.0	-999.000	   0.120	-999.000	-999.000	   0.120
  1002608103	  19901106	 1990.8499	  31.818	  64.183	 40.0	-999.000	   0.250	-999.000	-999.000	   0.250
  1002608104	  19901106	 1990.8499	  31.818	  64.183	 60.0	-999.000	   0.590	-999.000	-999.000	   0.590
